resistance_coef,dampening_cap,herding_prob,runs,event_preservation,event_preservation_sd,market_impact,market_impact_sd,peak_impact,damp_p90,strategy_spread,strategy_spread_sd,divergence_runs,rejected,reject_reason,mean_damp,cap_bind_ratio,fill_mismatch,leader_changes_2nd_half,ruined_ratio,flat_ratio,ret_momentum,ret_contrarian,ret_random,ret_buy_and_hold,ret_news_reactive
0.1,0.5,0.0,30,0.9968,0.0007,0.00056,0.00017,0.00339,0.0246,0.0263,0.0134,0,0,,0.0103,0.0000,0.0003,8.33,0.0000,0.5192,0.0328,0.0232,0.0134,0.0156,-0.0085
0.1,0.6,0.0,30,0.9968,0.0007,0.00056,0.00017,0.00339,0.0246,0.0263,0.0134,0,0,,0.0103,0.0000,0.0003,8.33,0.0000,0.5192,0.0328,0.0232,0.0134,0.0156,-0.0085
0.1,0.7,0.0,30,0.9968,0.0007,0.00056,0.00017,0.00339,0.0246,0.0263,0.0134,0,0,,0.0103,0.0000,0.0003,8.33,0.0000,0.5192,0.0328,0.0232,0.0134,0.0156,-0.0085
0.1,0.8,0.0,30,0.9968,0.0007,0.00056,0.00017,0.00339,0.0246,0.0263,0.0134,0,0,,0.0103,0.0000,0.0003,8.33,0.0000,0.5192,0.0328,0.0232,0.0134,0.0156,-0.0085
0.3,0.5,0.0,30,0.9905,0.0020,0.00164,0.00044,0.00957,0.0737,0.0261,0.0132,0,0,,0.0307,0.0000,0.0003,8.27,0.0000,0.5175,0.0313,0.0225,0.0134,0.0156,-0.0082
0.3,0.6,0.0,30,0.9905,0.0020,0.00164,0.00044,0.00957,0.0737,0.0261,0.0132,0,0,,0.0307,0.0000,0.0003,8.27,0.0000,0.5175,0.0313,0.0225,0.0134,0.0156,-0.0082
0.3,0.7,0.0,30,0.9905,0.0020,0.00164,0.00044,0.00957,0.0737,0.0261,0.0132,0,0,,0.0307,0.0000,0.0003,8.27,0.0000,0.5175,0.0313,0.0225,0.0134,0.0156,-0.0082
0.3,0.8,0.0,30,0.9905,0.0020,0.00164,0.00044,0.00957,0.0737,0.0261,0.0132,0,0,,0.0307,0.0000,0.0003,8.27,0.0000,0.5175,0.0313,0.0225,0.0134,0.0156,-0.0082
0.5,0.5,0.0,30,0.9844,0.0032,0.00275,0.00079,0.01542,0.1232,0.0258,0.0129,0,0,,0.0512,0.0027,0.0003,8.27,0.0000,0.5233,0.0313,0.0214,0.0134,0.0156,-0.0079
0.5,0.6,0.0,30,0.9844,0.0032,0.00275,0.00079,0.01542,0.1232,0.0258,0.0129,0,0,,0.0512,0.0000,0.0003,8.27,0.0000,0.5233,0.0313,0.0214,0.0134,0.0156,-0.0079
0.5,0.7,0.0,30,0.9844,0.0032,0.00275,0.00079,0.01542,0.1232,0.0258,0.0129,0,0,,0.0512,0.0000,0.0003,8.27,0.0000,0.5233,0.0313,0.0214,0.0134,0.0156,-0.0079
0.5,0.8,0.0,30,0.9844,0.0032,0.00275,0.00079,0.01542,0.1232,0.0258,0.0129,0,0,,0.0512,0.0000,0.0003,8.27,0.0000,0.5233,0.0313,0.0214,0.0134,0.0156,-0.0079
0.7,0.5,0.0,30,0.9782,0.0042,0.00372,0.00095,0.02061,0.1714,0.0257,0.0129,0,0,,0.0706,0.0090,0.0003,8.87,0.0000,0.5317,0.0310,0.0195,0.0134,0.0155,-0.0076
